network,environment,scenario,configured_group,sample,duration_seconds,connections,real_seconds,mean_handshake_ms,handshakes_per_second
local,lab,classic,X25519,1,20,27745,21.000000,0.756893,1321.190476
local,lab,classic,X25519,2,20,26967,21.000000,0.778730,1284.142857
local,lab,classic,X25519,3,20,27358,21.000000,0.767600,1302.761905
local,lab,classic,X25519,4,20,27677,21.000000,0.758753,1317.952381
local,lab,classic,X25519,5,20,27615,21.000000,0.760456,1315.000000
local,lab,hybrid,X25519MLKEM768,1,20,23987,21.000000,0.875474,1142.238095
local,lab,hybrid,X25519MLKEM768,2,20,24412,21.000000,0.860233,1162.476190
local,lab,hybrid,X25519MLKEM768,3,20,24925,21.000000,0.842528,1186.904762
local,lab,hybrid,X25519MLKEM768,4,20,25159,21.000000,0.834691,1198.047619
local,lab,hybrid,X25519MLKEM768,5,20,25061,21.000000,0.837955,1193.380952
local,lab,pq,MLKEM768,1,20,27075,21.000000,0.775623,1289.285714
local,lab,pq,MLKEM768,2,20,27189,21.000000,0.772371,1294.714286
local,lab,pq,MLKEM768,3,20,27031,21.000000,0.776886,1287.190476
local,lab,pq,MLKEM768,4,20,27103,21.000000,0.774822,1290.619048
local,lab,pq,MLKEM768,5,20,27113,21.000000,0.774536,1291.095238
local,nginx,classic,X25519,1,20,26825,21.000000,0.782852,1277.380952
local,nginx,classic,X25519,2,20,26325,21.000000,0.797721,1253.571429
local,nginx,classic,X25519,3,20,27069,21.000000,0.775795,1289.000000
local,nginx,classic,X25519,4,20,27333,21.000000,0.768302,1301.571429
local,nginx,classic,X25519,5,20,27413,21.000000,0.766060,1305.380952
local,nginx,hybrid,X25519MLKEM768,1,20,18425,21.000000,1.139756,877.380952
local,nginx,hybrid,X25519MLKEM768,2,20,18372,21.000000,1.143044,874.857143
local,nginx,hybrid,X25519MLKEM768,3,20,18437,21.000000,1.139014,877.952381
local,nginx,hybrid,X25519MLKEM768,4,20,18450,21.000000,1.138211,878.571429
local,nginx,hybrid,X25519MLKEM768,5,20,18369,21.000000,1.143230,874.714286
local,nginx,pq,mlkem768,1,20,20024,21.000000,1.048742,953.523810
local,nginx,pq,mlkem768,2,20,20045,21.000000,1.047643,954.523810
local,nginx,pq,mlkem768,3,20,20025,21.000000,1.048689,953.571429
local,nginx,pq,mlkem768,4,20,20040,21.000000,1.047904,954.285714
local,nginx,pq,mlkem768,5,20,19983,21.000000,1.050893,951.571429
