network,environment,scenario,configured_group,sample,duration_seconds,connections,real_seconds,mean_handshake_ms,handshakes_per_second
wan,nginx,classic,X25519,1,20,41,21.000000,512.195122,1.952381
wan,nginx,classic,X25519,2,20,38,21.000000,552.631579,1.809524
wan,nginx,classic,X25519,3,20,39,21.000000,538.461538,1.857143
wan,nginx,classic,X25519,4,20,37,22.000000,594.594595,1.681818
wan,nginx,classic,X25519,5,20,36,21.000000,583.333333,1.714286
wan,nginx,hybrid,X25519MLKEM768,1,20,38,21.000000,552.631579,1.809524
wan,nginx,hybrid,X25519MLKEM768,2,20,38,21.000000,552.631579,1.809524
wan,nginx,hybrid,X25519MLKEM768,3,20,35,21.000000,600.000000,1.666667
wan,nginx,hybrid,X25519MLKEM768,4,20,38,21.000000,552.631579,1.809524
wan,nginx,hybrid,X25519MLKEM768,5,20,34,21.000000,617.647059,1.619048
wan,nginx,pq,mlkem768,1,20,40,21.000000,525.000000,1.904762
wan,nginx,pq,mlkem768,2,20,36,21.000000,583.333333,1.714286
wan,nginx,pq,mlkem768,3,20,40,21.000000,525.000000,1.904762
wan,nginx,pq,mlkem768,4,20,39,21.000000,538.461538,1.857143
wan,nginx,pq,mlkem768,5,20,36,21.000000,583.333333,1.714286
