network,environment,scenario,configured_group,sample,duration_seconds,connections,real_seconds,mean_handshake_ms,handshakes_per_second
wan,nginx,classic,X25519,1,30,109,31.000000,284.403670,3.516129
wan,nginx,classic,X25519,2,30,119,31.000000,260.504202,3.838710
wan,nginx,classic,X25519,3,30,113,31.000000,274.336283,3.645161
wan,nginx,classic,X25519,4,30,110,31.000000,281.818182,3.548387
wan,nginx,classic,X25519,5,30,120,31.000000,258.333333,3.870968
wan,nginx,classic,X25519,6,30,118,31.000000,262.711864,3.806452
wan,nginx,classic,X25519,7,30,112,31.000000,276.785714,3.612903
wan,nginx,classic,X25519,8,30,117,31.000000,264.957265,3.774194
wan,nginx,classic,X25519,9,30,108,31.000000,287.037037,3.483871
wan,nginx,classic,X25519,10,30,114,31.000000,271.929825,3.677419
wan,nginx,hybrid,X25519MLKEM768,1,30,112,31.000000,276.785714,3.612903
wan,nginx,hybrid,X25519MLKEM768,2,30,115,31.000000,269.565217,3.709677
wan,nginx,hybrid,X25519MLKEM768,3,30,119,31.000000,260.504202,3.838710
wan,nginx,hybrid,X25519MLKEM768,4,30,108,31.000000,287.037037,3.483871
wan,nginx,hybrid,X25519MLKEM768,5,30,117,31.000000,264.957265,3.774194
wan,nginx,hybrid,X25519MLKEM768,6,30,109,31.000000,284.403670,3.516129
wan,nginx,hybrid,X25519MLKEM768,7,30,110,31.000000,281.818182,3.548387
wan,nginx,hybrid,X25519MLKEM768,8,30,115,31.000000,269.565217,3.709677
wan,nginx,hybrid,X25519MLKEM768,9,30,117,31.000000,264.957265,3.774194
wan,nginx,hybrid,X25519MLKEM768,10,30,117,31.000000,264.957265,3.774194
wan,nginx,pq,mlkem768,1,30,113,31.000000,274.336283,3.645161
wan,nginx,pq,mlkem768,2,30,111,31.000000,279.279279,3.580645
wan,nginx,pq,mlkem768,3,30,111,31.000000,279.279279,3.580645
wan,nginx,pq,mlkem768,4,30,114,31.000000,271.929825,3.677419
wan,nginx,pq,mlkem768,5,30,104,31.000000,298.076923,3.354839
wan,nginx,pq,mlkem768,6,30,108,31.000000,287.037037,3.483871
wan,nginx,pq,mlkem768,7,30,115,31.000000,269.565217,3.709677
wan,nginx,pq,mlkem768,8,30,113,31.000000,274.336283,3.645161
wan,nginx,pq,mlkem768,9,30,117,31.000000,264.957265,3.774194
wan,nginx,pq,mlkem768,10,30,118,31.000000,262.711864,3.806452
