network,environment,scenario,configured_group,sample,duration_seconds,connections,real_seconds,mean_handshake_ms,handshakes_per_second
wan,nginx,classic,X25519,1,20,223,21.000000,94.170404,10.619048
wan,nginx,classic,X25519,2,20,204,21.000000,102.941176,9.714286
wan,nginx,classic,X25519,3,20,217,21.000000,96.774194,10.333333
wan,nginx,classic,X25519,4,20,214,21.000000,98.130841,10.190476
wan,nginx,classic,X25519,5,20,212,21.000000,99.056604,10.095238
wan,nginx,hybrid,X25519MLKEM768,1,20,207,21.000000,101.449275,9.857143
wan,nginx,hybrid,X25519MLKEM768,2,20,209,21.000000,100.478469,9.952381
wan,nginx,hybrid,X25519MLKEM768,3,20,209,21.000000,100.478469,9.952381
wan,nginx,hybrid,X25519MLKEM768,4,20,213,21.000000,98.591549,10.142857
wan,nginx,hybrid,X25519MLKEM768,5,20,209,21.000000,100.478469,9.952381
wan,nginx,pq,mlkem768,1,20,201,21.000000,104.477612,9.571429
wan,nginx,pq,mlkem768,2,20,210,21.000000,100.000000,10.000000
wan,nginx,pq,mlkem768,3,20,211,21.000000,99.526066,10.047619
wan,nginx,pq,mlkem768,4,20,210,21.000000,100.000000,10.000000
wan,nginx,pq,mlkem768,5,20,210,21.000000,100.000000,10.000000
